index,voxel_count,volume,surface_area,volume_surface_area_ratio,compactness,compactness_alternate,spherical_disproportion,sphericity
Size_0_Phantom-label.nii.gz,625.0,769.04296875,1229.8828102648258,1.5992380923316591,3.779779933973287,0.035955256433352206,3.0297900604171604,0.3300558718785663
Size_1_Phantom-label.nii.gz,2601.0,3200.44921875,4839.820307940245,1.5122315578656593,6.310782016940102,0.010218485716816501,4.608268966998722,0.21700122261988553
Size_2_Phantom-label.nii.gz,5929.0,7295.44921875,10826.320305615664,1.483982683039036,8.410526583945803,0.004743663078098273,5.951531294196814,0.16802398417615214
Size_4_Phantom-label.nii.gz,10609.0,13054.04296875,19189.382803291082,1.4699953760860476,10.275337540500868,0.0027274665282141274,7.157261034932097,0.13971825187307663
Size_5_Phantom-label.nii.gz,16384.0,20160.0,29471.99998855591,1.4619047613370986,11.920903870400306,0.001795579357420605,8.227447733101872,0.1215443759036783
Size_6_Phantom-label.nii.gz,23409.0,28804.04296875,41951.882798820734,1.456458138336172,13.45997363746751,0.0012708810485520092,9.232054625052427,0.10831824990358753
Size_7_Phantom-label.nii.gz,32041.0,39425.44921875,57261.82029649615,1.4524075547949244,14.9724066592669,0.0009362896557044739,10.221859915601664,0.09782955433322812
Size_8_Phantom-label.nii.gz,42025.0,51710.44921875,74948.32029417157,1.4493844363470665,16.412022543715384,0.0007183288055935837,11.16586156690377,0.08955869585236977
Size_9_Phantom-label.nii.gz,53361.0,65659.04296875,95011.38279184699,1.4470418467272976,17.791088471921064,0.0005684791665957573,12.071516032429399,0.08283963648919988
