index,GLCM_1_0_contrast,GLCM_1_0_dissimilarity,GLCM_1_0_homogeneity,GLCM_1_0_ASM,GLCM_1_0_energy,GLCM_1_0_correlation,GLCM_1_0.785398163397_contrast,GLCM_1_0.785398163397_dissimilarity,GLCM_1_0.785398163397_homogeneity,GLCM_1_0.785398163397_ASM,GLCM_1_0.785398163397_energy,GLCM_1_0.785398163397_correlation,GLCM_1_1.57079632679_contrast,GLCM_1_1.57079632679_dissimilarity,GLCM_1_1.57079632679_homogeneity,GLCM_1_1.57079632679_ASM,GLCM_1_1.57079632679_energy,GLCM_1_1.57079632679_correlation,GLCM_1_2.35619449019_contrast,GLCM_1_2.35619449019_dissimilarity,GLCM_1_2.35619449019_homogeneity,GLCM_1_2.35619449019_ASM,GLCM_1_2.35619449019_energy,GLCM_1_2.35619449019_correlation,GLCM_2_0_contrast,GLCM_2_0_dissimilarity,GLCM_2_0_homogeneity,GLCM_2_0_ASM,GLCM_2_0_energy,GLCM_2_0_correlation,GLCM_2_0.785398163397_contrast,GLCM_2_0.785398163397_dissimilarity,GLCM_2_0.785398163397_homogeneity,GLCM_2_0.785398163397_ASM,GLCM_2_0.785398163397_energy,GLCM_2_0.785398163397_correlation,GLCM_2_1.57079632679_contrast,GLCM_2_1.57079632679_dissimilarity,GLCM_2_1.57079632679_homogeneity,GLCM_2_1.57079632679_ASM,GLCM_2_1.57079632679_energy,GLCM_2_1.57079632679_correlation,GLCM_2_2.35619449019_contrast,GLCM_2_2.35619449019_dissimilarity,GLCM_2_2.35619449019_homogeneity,GLCM_2_2.35619449019_ASM,GLCM_2_2.35619449019_energy,GLCM_2_2.35619449019_correlation,GLCM_3_0_contrast,GLCM_3_0_dissimilarity,GLCM_3_0_homogeneity,GLCM_3_0_ASM,GLCM_3_0_energy,GLCM_3_0_correlation,GLCM_3_0.785398163397_contrast,GLCM_3_0.785398163397_dissimilarity,GLCM_3_0.785398163397_homogeneity,GLCM_3_0.785398163397_ASM,GLCM_3_0.785398163397_energy,GLCM_3_0.785398163397_correlation,GLCM_3_1.57079632679_contrast,GLCM_3_1.57079632679_dissimilarity,GLCM_3_1.57079632679_homogeneity,GLCM_3_1.57079632679_ASM,GLCM_3_1.57079632679_energy,GLCM_3_1.57079632679_correlation,GLCM_3_2.35619449019_contrast,GLCM_3_2.35619449019_dissimilarity,GLCM_3_2.35619449019_homogeneity,GLCM_3_2.35619449019_ASM,GLCM_3_2.35619449019_energy,GLCM_3_2.35619449019_correlation,GLCM_4_0_contrast,GLCM_4_0_dissimilarity,GLCM_4_0_homogeneity,GLCM_4_0_ASM,GLCM_4_0_energy,GLCM_4_0_correlation,GLCM_4_0.785398163397_contrast,GLCM_4_0.785398163397_dissimilarity,GLCM_4_0.785398163397_homogeneity,GLCM_4_0.785398163397_ASM,GLCM_4_0.785398163397_energy,GLCM_4_0.785398163397_correlation,GLCM_4_1.57079632679_contrast,GLCM_4_1.57079632679_dissimilarity,GLCM_4_1.57079632679_homogeneity,GLCM_4_1.57079632679_ASM,GLCM_4_1.57079632679_energy,GLCM_4_1.57079632679_correlation,GLCM_4_2.35619449019_contrast,GLCM_4_2.35619449019_dissimilarity,GLCM_4_2.35619449019_homogeneity,GLCM_4_2.35619449019_ASM,GLCM_4_2.35619449019_energy,GLCM_4_2.35619449019_correlation,GLCM_5_0_contrast,GLCM_5_0_dissimilarity,GLCM_5_0_homogeneity,GLCM_5_0_ASM,GLCM_5_0_energy,GLCM_5_0_correlation,GLCM_5_0.785398163397_contrast,GLCM_5_0.785398163397_dissimilarity,GLCM_5_0.785398163397_homogeneity,GLCM_5_0.785398163397_ASM,GLCM_5_0.785398163397_energy,GLCM_5_0.785398163397_correlation,GLCM_5_1.57079632679_contrast,GLCM_5_1.57079632679_dissimilarity,GLCM_5_1.57079632679_homogeneity,GLCM_5_1.57079632679_ASM,GLCM_5_1.57079632679_energy,GLCM_5_1.57079632679_correlation,GLCM_5_2.35619449019_contrast,GLCM_5_2.35619449019_dissimilarity,GLCM_5_2.35619449019_homogeneity,GLCM_5_2.35619449019_ASM,GLCM_5_2.35619449019_energy,GLCM_5_2.35619449019_correlation
GLCM_Grid_1_Phantom-label.nii.gz,5815.884210526312,58.750000000000014,0.0431190181898437,0.0015443213296398896,0.039297854008073896,-0.30269391843330196,5888.188365650968,59.232686980609415,0.04521468444260472,0.0016574458452590119,0.04071174087728271,-0.317291301436038,5881.214473684209,58.83815789473686,0.038712098199400476,0.0015235457063711919,0.03903262361629297,-0.32656285893443104,5876.349030470912,58.991689750692515,0.04209940150898349,0.0016727925660484472,0.040899786870452606,-0.3201262946133277,210.24027777777775,11.690277777777776,0.0831877965810155,0.0017592592592592588,0.04194352464039305,0.9529210851573457,5888.188365650968,59.232686980609415,0.04521468444260472,0.0016574458452590119,0.04071174087728271,-0.317291301436038,232.68472222222232,12.037499999999998,0.08838614829399662,0.0017901234567901233,0.04230985058813282,0.947558207754084,5876.349030470912,58.991689750692515,0.04209940150898349,0.0016727925660484472,0.040899786870452606,-0.3201262946133277,5761.717647058823,58.59705882352937,0.04307104451831954,0.0017257785467127997,0.041542490858310355,-0.29530265358135377,234.82561728395058,12.171296296296301,0.08860303963124908,0.0020385611949397956,0.045150428513357384,0.9474770452848379,5907.735294117646,59.02352941176472,0.048162662759704426,0.0017993079584775063,0.04241825029957632,-0.3324483538415663,232.3981481481482,12.169753086419755,0.07876619387561595,0.00200998323426307,0.044832836562759104,0.9479444062525608,213.57499999999996,11.546874999999995,0.07909982057765988,0.001967773437499998,0.044359592395557444,0.9520516489412821,5894.515570934254,59.45674740484429,0.04229161115879444,0.0019216723937692303,0.04383688394228347,-0.3192590110039369,209.45781250000002,11.592187500000001,0.08293565648159955,0.001962890624999997,0.044304521496118174,0.9526103816017798,5836.515570934257,58.813148788927336,0.036492039573453365,0.002041402760982266,0.04518188531903318,-0.31759187696015995,5767.611666666668,58.62166666666665,0.039639687591177315,0.0019333333333333323,0.043969686527576386,-0.2968649544522398,232.787109375,11.869140625,0.09614970471960221,0.002410888671875,0.04910080113272084,0.947522196266988,5808.526666666669,58.740000000000016,0.03878780244340091,0.001894444444444443,0.04352521619066863,-0.32690736683884897,217.35546875,11.5390625,0.09090243837787759,0.00238037109375,0.04878904686248749,0.9510225235948743
GLCM_Grid_2_Phantom-label.nii.gz,2910.8118421052645,34.56184210526315,0.06078453067675542,0.0015789473684210535,0.03973597071195133,0.33847846361731926,4224.144044321331,45.73130193905816,0.046296676781805116,0.001619079043285424,0.04023778129178377,0.0462576913059048,2836.59605263158,34.31973684210527,0.057147821331604266,0.0015927977839335188,0.039909870758166065,0.3547295784680642,4277.369806094183,45.92936288088643,0.05002999547181839,0.0016420991244695772,0.04052282226683597,0.025559416982852735,5884.2763888888885,59.16805555555556,0.038524844476970715,0.0016550925925925923,0.04068282921076891,-0.33530853071488326,4224.144044321331,45.73130193905816,0.046296676781805116,0.001619079043285424,0.04023778129178377,0.0462576913059048,5680.129166666669,58.19027777777777,0.04114116075972403,0.0016473765432098773,0.04058788665611795,-0.29425034492628355,4277.369806094183,45.92936288088643,0.05002999547181839,0.0016420991244695772,0.04052282226683597,0.025559416982852735,3253.375000000002,37.351470588235294,0.06256010158102848,0.0017257785467128005,0.04154249085831037,0.2590745682325927,5869.839506172837,59.65740740740741,0.038154541855755945,0.0017527815881725353,0.04186623446373623,-0.31201129665862315,3116.395588235294,36.969117647058816,0.05197139334847138,0.001734429065743943,0.04164647723090085,0.2915545384583688,5684.280864197532,57.94444444444445,0.0470802191048716,0.0017623075750647773,0.04197984724918347,-0.3014056403329937,234.08593750000006,12.354687499999997,0.0679648952301594,0.001958007812499999,0.044249382057832166,0.9466514452903553,4518.304498269898,48.439446366782015,0.04204529622034296,0.001981537577375748,0.044514464810618,-0.018546397577868315,224.12031249999995,11.854687499999995,0.08015674727952768,0.0019287109374999992,0.043917091632984975,0.9488679373423854,4548.647058823532,48.612456747404856,0.04013226986689033,0.002011470169179007,0.04484941659797825,-0.0426337150774725,2846.858333333333,33.88166666666666,0.05868025584620136,0.0019222222222222203,0.043843154793219666,0.35527322018950686,220.125,11.77734375,0.06989153156995691,0.0023956298828125,0.04894517221149089,0.9502464276241259,2824.7616666666668,34.071666666666694,0.055751961979337086,0.0019499999999999995,0.044158804331639226,0.356573119597615,210.3515625,11.58984375,0.08890380283227785,0.00244903564453125,0.049487732262968466,0.9517773603738718
GLCM_Grid_3_Phantom-label.nii.gz,2085.7434210526326,28.143421052631584,0.05619451030326787,0.001582409972299171,0.03977951699429206,0.5561986386669366,3352.3074792243765,38.263157894736835,0.06044035893567712,0.001661282525456371,0.04075883371069848,0.27089530087860464,2180.361842105264,28.451315789473682,0.05478944061693127,0.0015997229916897518,0.039996537246238605,0.5381517488400286,3280.85595567867,38.15235457063711,0.06048232092365665,0.0016459358046669354,0.04057013439301052,0.28587096071942714,4178.2458333333325,45.437500000000014,0.05168069507317303,0.0016049382716049384,0.040061680838488774,0.08264788580651933,3352.3074792243765,38.263157894736835,0.06044035893567712,0.001661282525456371,0.04075883371069848,0.27089530087860464,4199.313888888889,45.53333333333333,0.05075439849027226,0.0017052469135802463,0.041294635409218065,0.09020300478416489,3280.85595567867,38.15235457063711,0.06048232092365665,0.0016459358046669354,0.04057013439301052,0.28587096071942714,6120.4029411764695,62.12352941176473,0.038304999655401795,0.001682525951557091,0.04101860494406277,-0.34919554459487046,5157.404320987655,53.3148148148148,0.037336705313889024,0.001748018594726415,0.04180931229674096,-0.1858396026510945,6224.926470588232,62.56764705882355,0.041277851568932086,0.0017171280276816585,0.04143824354001577,-0.35546542265103476,5067.42438271605,52.871913580246904,0.05037285026356808,0.001838515470202714,0.042877913547684596,-0.17014552944401115,4304.170312499999,46.41406249999998,0.056979745474794445,0.0018896484374999994,0.04347008669763611,0.08356531253959568,5774.155709342563,58.792387543252595,0.04508429444587323,0.0019695645406544453,0.044379776257372515,-0.33772469473961003,4292.13125,46.478125,0.05672513584042355,0.0018017578124999993,0.04244711783501913,0.09768797162639317,5704.707612456748,58.607266435986155,0.03626215533936892,0.0019456184672118383,0.04410916534249813,-0.3366029606324684,2184.4800000000005,29.179999999999996,0.06388681910484656,0.001933333333333333,0.04396968652757639,0.5527829511518106,5700.02734375,58.0234375,0.042784810347855765,0.002197265625,0.046875,-0.2264562030832893,2228.4833333333327,28.990000000000002,0.052261517782835804,0.001972222222222221,0.04440970864824741,0.5480617179693505,5562.869140625,56.978515625,0.04684317717848361,0.00218963623046875,0.046793549026214604,-0.2164373051754925
GLCM_Grid_4_Phantom-label.nii.gz,1634.8342105263152,23.43421052631578,0.07989918989800687,0.001589335180055403,0.039866466861955586,0.696607431490868,2680.108033240997,32.07479224376731,0.07361095161434018,0.001661282525456371,0.04075883371069848,0.4944597987921181,1671.177631578947,24.01184210526315,0.07354263776483741,0.001606648199445984,0.04008301634665216,0.6907023556921689,2755.1260387811635,32.785318559556785,0.061178059087891215,0.001626752403680142,0.04033301877717737,0.4805045669134492,3260.388888888889,37.05833333333333,0.056639368189534293,0.0016242283950617278,0.040301717023741405,0.38205043244449827,2680.108033240997,32.07479224376731,0.07361095161434018,0.001661282525456371,0.04075883371069848,0.4944597987921181,3285.337499999999,37.17083333333335,0.06115094324233642,0.0016628086419753086,0.040777550710842214,0.3804984589368534,2755.1260387811635,32.785318559556785,0.061178059087891215,0.001626752403680142,0.04033301877717737,0.4805045669134492,5033.179411764707,51.66176470588236,0.057187256148603524,0.0016825259515570912,0.04101860494406277,0.017785044511940396,4708.137345679015,48.94598765432099,0.052967063955346526,0.0017242036274958093,0.04152353100948677,0.07330444125698117,5069.208823529414,51.908823529411755,0.05417387203188279,0.0017387543252595128,0.0416983731728171,0.0182297092366491,4723.51697530864,49.19907407407407,0.04780658958643936,0.0017861225422953829,0.04226254301737394,0.0696021107812618,7077.346875,68.8,0.029780097675668665,0.0018359374999999986,0.042847841252506506,-0.422913181866231,5780.56920415225,58.70761245674739,0.04429233412195246,0.0019516049855724889,0.044176973476829404,-0.21210391798890849,7097.996875,68.89687500000004,0.031820539617641454,0.0018408203124999987,0.04290478193045617,-0.4146128393465294,5854.66089965398,58.40138408304498,0.04462075741995033,0.002029429724260964,0.04504919227090497,-0.2245766063326924,5734.323333333331,57.64,0.04347548789972333,0.0018944444444444436,0.04352521619066864,-0.11474995701086117,5830.845703125,58.919921875,0.04051591898258208,0.0022430419921875,0.04736076426946149,-0.3076313933248722,5727.253333333333,57.24333333333332,0.04570538952493419,0.0018999999999999993,0.043588989435406726,-0.10205393589598116,5840.552734375,59.138671875,0.03354495427007892,0.002197265625,0.046875,-0.30768375578295093
GLCM_Grid_5_Phantom-label.nii.gz,1145.5736842105264,19.907894736842096,0.07514386871099912,0.001755540166204987,0.04189916665287016,0.7353270441149369,1896.4806094182818,25.807479224376742,0.07162547639883987,0.0017456894897982655,0.04178144911079875,0.5658314595289893,1106.6289473684214,19.321052631578958,0.06842045737720753,0.0017036011080332415,0.04127470300357401,0.7444805878274774,1860.5720221606657,25.718836565096954,0.06668076572456018,0.0017073226878246773,0.04131976146863238,0.5664620903195331,2100.8638888888886,27.458333333333325,0.061975925721814026,0.0017824074074074077,0.04221856709325185,0.5184941128092371,1896.4806094182818,25.807479224376742,0.07162547639883987,0.0017456894897982655,0.04178144911079875,0.5658314595289893,2078.7777777777783,27.677777777777788,0.06885775008025787,0.0017013888888888884,0.041247895569215265,0.5227746281954634,1860.5720221606657,25.718836565096954,0.06668076572456018,0.0017073226878246773,0.04131976146863238,0.5664620903195331,3069.6411764705877,36.47941176470587,0.050187124480407186,0.0018036332179930776,0.04246920317115777,0.3005972373850083,3402.1527777777756,38.39351851851853,0.06685880903990893,0.001814700502972108,0.04259930167235266,0.23392424831190056,3121.3147058823533,36.75000000000001,0.05815478284514215,0.001820934256055362,0.04267240626043207,0.28821883274941473,3224.6080246913575,37.26851851851852,0.06341647999429234,0.0018813824112178029,0.04337490531652839,0.24410793607192507,4281.359374999999,46.540625,0.049734196093716994,0.001821289062499999,0.042676563386711434,0.026328527993316083,4652.711072664361,49.16435986159171,0.046777027626065955,0.001993510614097051,0.04464874706077485,-0.02427322090776614,4301.982812499999,46.448437500000004,0.04794792194475461,0.0018554687499999993,0.043075152350281934,0.02021088560866111,4228.115916955017,46.420415224913484,0.04426636880545828,0.0020414027609822675,0.045181885319033194,-0.0006744464762054725,5688.236666666665,58.56333333333335,0.03842089590658944,0.0019444444444444433,0.04409585518440983,-0.3014392448911819,5733.02734375,58.40234375,0.03919865299735178,0.0022735595703125,0.047681857873959774,-0.23653847619765,5723.681666666668,58.5916666666667,0.03585903217549208,0.001988888888888888,0.04459696053419883,-0.3128354171531468,5024.818359375,52.876953125,0.044063346991327336,0.00222015380859375,0.047118508132089135,-0.2113469012106339
GLCM_Horizontal_0_Phantom-label.nii.gz,589.8986842105262,19.50921052631578,0.046637780392186266,0.0015754847645429366,0.039692376655258835,0.012954620089401965,562.3421052631579,18.96260387811634,0.040770599448646576,0.001630589083877501,0.04038055328840234,0.062290272465945755,592.6986842105266,19.70921052631579,0.04298657754768494,0.001520083102493075,0.03898824313165541,0.0099903104003885,582.9626038781163,19.18421052631579,0.04674951175895539,0.0016727925660484488,0.04089978687045262,0.02385880474884551,581.6180555555553,19.17916666666667,0.06174669107986069,0.0016820987654320991,0.04101339738953723,0.01244176191284271,562.3421052631579,18.96260387811634,0.040770599448646576,0.001630589083877501,0.04038055328840234,0.062290272465945755,640.0416666666666,20.25,0.05097009741452521,0.0016550925925925923,0.04068282921076891,-0.07108231127136369,582.9626038781163,19.18421052631579,0.04674951175895539,0.0016727925660484488,0.04089978687045262,0.02385880474884551,615.8999999999997,20.008823529411764,0.045741078896296555,0.0016825259515570918,0.041018604944062786,-0.04856701479590612,574.6358024691356,19.280864197530846,0.048258217189081326,0.001852804450541076,0.04304421506475726,0.025204271789038193,611.2823529411764,19.485294117647054,0.053395994848822924,0.0017257785467128014,0.04154249085831038,-0.01923076601511507,600.9336419753085,19.89969135802469,0.052197606301710005,0.0018194634964182287,0.042655169632979176,-0.022374090451929916,598.0390625000001,19.4953125,0.048034294091243296,0.0017919921875,0.04233192870045021,-0.014543528757345615,640.0778546712801,20.375432525951563,0.042484205930411745,0.002041402760982267,0.045181885319033194,-0.0791521578369027,611.0562500000002,19.86875,0.04686747987357154,0.0018554687499999993,0.043075152350281934,-0.02438915942184843,608.0795847750866,19.740484429065738,0.05655528181240054,0.0019994971324577043,0.04471573696650548,-0.028973962102040427,559.6349999999999,18.98166666666667,0.05305987529876715,0.0020111111111111115,0.044845413490245706,0.048144230650205115,596.87890625,19.1328125,0.06161630385468703,0.00231170654296875,0.048080209473012385,-0.005524488290795957,602.7000000000002,19.59666666666667,0.052516720128791446,0.001927777777777778,0.04390646624106497,-0.01359940063137966,582.099609375,18.916015625,0.05465218579153486,0.00225830078125,0.04752158226795484,0.008770769108174965
GLCM_Horizontal_1_Phantom-label.nii.gz,11600.93815789474,106.59342105263153,9.432372037194669e-05,0.001693213296398893,0.04114867308187341,-0.9580548168799766,11610.752077562325,106.62465373961219,9.415106650861704e-05,0.0017648728907850605,0.04201039027175373,-0.9584338970106475,235.51842105263165,12.044736842105264,0.07576935599548014,0.0016516620498614961,0.04064064529336974,0.9603505694363893,11620.671745152355,106.64127423822723,9.440006063942038e-05,0.001703486007627319,0.041273308658590954,-0.95958617933204,238.0347222222222,12.268055555555552,0.07306524395428339,0.001670524691358024,0.04087205269322822,0.9599020611452945,11610.752077562325,106.62465373961219,9.415106650861704e-05,0.0017648728907850605,0.04201039027175373,-0.9584338970106475,234.21250000000006,12.18194444444444,0.07885416244144225,0.0016782407407407412,0.04096633667709063,0.9606081359884686,11620.671745152355,106.64127423822723,9.440006063942038e-05,0.001703486007627319,0.041273308658590954,-0.95958617933204,11621.5794117647,106.60000000000002,9.503159961902422e-05,0.0018079584775086478,0.04252009498470868,-0.9613305850576163,238.5817901234567,12.322530864197526,0.08403705456099976,0.001852804450541076,0.04304421506475726,0.9599279702244787,236.11470588235304,12.373529411764705,0.06836063546919027,0.001807958477508649,0.04252009498470869,0.9603208709237873,232.55092592592595,12.100308641975312,0.08101074285441309,0.0019194863587867707,0.04381194310672343,0.9609163994991573,243.80468749999997,12.423437500000006,0.06899694070802939,0.0019384765624999986,0.04402813376126677,0.958958903178489,11634.115916955017,106.74567474048446,9.368711294678527e-05,0.0020833083895068303,0.04564327321201702,-0.9573470322396782,249.56406250000003,12.476562500000002,0.08412081809358743,0.0018261718749999997,0.042733732284929195,0.9580483013462301,11645.309688581323,106.66262975778542,9.480033841541646e-05,0.002095281426228133,0.04577424413606557,-0.961644529270724,11611.645000000004,106.64500000000002,9.399929696132771e-05,0.0020055555555555556,0.04478342947514801,-0.9593864785007469,243.28125,12.40625,0.07776665627923779,0.00226593017578125,0.04760178752716383,0.959128668495674,247.54166666666666,12.401666666666667,0.08009751914534552,0.002066666666666666,0.04546060565661951,0.9583675805476767,236.71484375,12.2734375,0.07171570919428764,0.0021514892578125,0.04638414877749186,0.9603194667892958
GLCM_Horizontal_2_Phantom-label.nii.gz,5177.4276315789475,54.440789473684184,0.047897554788156264,0.0015581717451523549,0.03947368421052632,0.05059768213154297,5193.365650969529,54.88919667590025,0.03681573920308571,0.0015922222819039129,0.039902660085562126,0.04955383264233397,207.8131578947369,11.478947368421055,0.07534259394249944,0.0017070637119113578,0.04131662754765154,0.9617355812120398,5182.164819944599,54.505540166204995,0.04130823369773934,0.0016075690026933487,0.04009450090340755,0.051040088563875693,10619.379166666668,101.97361111111107,0.00010301492560485901,0.0017168209876543203,0.04143453858382304,-0.9628560482951587,5193.365650969529,54.88919667590025,0.03681573920308571,0.0015922222819039129,0.039902660085562126,0.04955383264233397,216.39305555555552,11.695833333333333,0.07316006240301241,0.0018094135802469125,0.04253720230864875,0.9602596629850986,5182.164819944599,54.505540166204995,0.04130823369773934,0.0016075690026933487,0.04009450090340755,0.051040088563875693,5663.1514705882355,59.25147058823528,0.03601077024880541,0.001608996539792386,0.04011229910878191,-0.042198182866702495,10648.53395061729,102.23148148148147,0.00010160008671477484,0.0019480643194634978,0.04413688162368857,-0.9592118067548902,204.50147058823526,11.551470588235297,0.08588453001735696,0.0017993079584775066,0.04241825029957632,0.962247888468544,10653.263888888883,102.16203703703705,0.0001025568792991256,0.0019147233653406491,0.04375755209493156,-0.962277426553684,215.17812500000005,12.006250000000001,0.06507808584219575,0.001933593749999999,0.04397264774834464,0.9603557979207124,5700.813148788927,59.33217993079586,0.03621879933472512,0.001867793728523365,0.043217979227670573,-0.049917714325553884,208.5265625,11.554687499999996,0.08329541049332218,0.0018896484374999985,0.04347008669763609,0.96136288530687,5623.638408304499,59.08477508650518,0.03586184296175256,0.0018917398019659723,0.04349413525943437,-0.03677477315071418,5162.170000000003,54.213333333333345,0.04404253628336631,0.0018222222222222207,0.042687494916218975,0.05486728210632557,213.8125,11.59765625,0.07842954680005236,0.0023345947265625,0.048317644050206957,0.9605582720042097,210.925,11.358333333333333,0.08783194913124025,0.002038888888888888,0.04515405728048021,0.9609703872156895,194.458984375,11.072265625,0.08638472676242161,0.0022735595703125,0.047681857873959774,0.9639120113638087
GLCM_Horizontal_3_Phantom-label.nii.gz,3730.952631578947,41.150000000000006,0.055054837060941955,0.001537396121883657,0.03920964322566142,0.36067316624369333,3696.397506925207,41.04570637119114,0.057206799921690726,0.0016190790432854265,0.0402377812917838,0.3646933555162949,223.14736842105273,11.792105263157902,0.07532289349193516,0.0016447368421052633,0.040555355282690636,0.9614587992686359,3748.940443213295,41.97091412742382,0.050905695953764804,0.0015960589621012726,0.0399507066533406,0.3559854140742004,7792.690277777781,74.9013888888889,0.026146186741792796,0.0016010802469135802,0.04001350080802204,-0.3282276918707201,3696.397506925207,41.04570637119114,0.057206799921690726,0.0016190790432854265,0.0402377812917838,0.3646933555162949,236.54166666666663,12.299999999999995,0.0774298409456805,0.0017592592592592586,0.04194352464039305,0.9588914543163486,3748.940443213295,41.97091412742382,0.050905695953764804,0.0015960589621012726,0.0399507066533406,0.3559854140742004,11534.773529411765,106.3617647058823,9.384378767224588e-05,0.0018295847750865034,0.04277364580073229,-0.962134285589579,7755.077160493828,74.89506172839506,0.03268393091433419,0.0017670705685108982,0.04203653849344518,-0.3375719612967303,216.11323529411766,11.566176470588236,0.08202716546350829,0.001773356401384081,0.042111238421401014,0.9625867448973277,7679.16512345679,74.40277777777777,0.022577645869972733,0.0017527815881725355,0.04186623446373623,-0.3245608154818305,8088.292187500003,77.49218749999999,0.02038890961375293,0.0018652343749999984,0.0431883592533914,-0.37849162905446826,11455.508650519028,105.99999999999997,9.475249756799198e-05,0.0021611331281953024,0.04648798907454809,-0.9653377208741547,216.5671875,11.807812499999999,0.08248965340281686,0.001918945312499999,0.04380576802773807,0.9626306854943378,11435.621107266436,105.93252595155703,9.438196736591272e-05,0.002071335352785526,0.04551192539088548,-0.9628278316627958,3929.153333333333,43.093333333333305,0.04893149526406081,0.0017999999999999997,0.04242640687119285,0.3248481237096354,7954.69140625,76.94921875,0.017569164759601734,0.002166748046875,0.04654834096801947,-0.3663000743895925,211.17499999999998,11.594999999999999,0.07991628061535917,0.0020333333333333327,0.045092497528228935,0.963554446050131,8034.35546875,77.02734375,0.03329592329071639,0.00218963623046875,0.046793549026214604,-0.3813903213700041
GLCM_Horizontal_4_Phantom-label.nii.gz,2476.085526315789,31.148684210526305,0.05802547853788279,0.0015962603878116348,0.0399532275018131,0.5432064565804057,2450.1925207756244,31.04847645429363,0.05411339111979805,0.0016152423630880664,0.04019007791841248,0.5467611756379426,211.4921052631578,11.294736842105262,0.09532360517303656,0.0017139889196675902,0.041400349269874404,0.9603521218472052,2439.8559556786713,30.59002770083102,0.06237583301254017,0.0016497724848642957,0.04061739140890631,0.5479527463596094,4972.5347222222235,52.69583333333334,0.04882864581848083,0.0016203703703703703,0.04025382429497066,0.09508085167778471,2450.1925207756244,31.04847645429363,0.05411339111979805,0.0016152423630880664,0.04019007791841248,0.5467611756379426,203.29166666666666,11.488888888888889,0.08212715889996346,0.0018364197530864198,0.04285346839039309,0.96186504486624,2439.8559556786713,30.59002770083102,0.06237583301254017,0.0016497724848642957,0.04061739140890631,0.5479527463596094,7754.308823529414,76.10294117647064,0.030356007065164958,0.0017084775086505172,0.04133373330163291,-0.39732890822479616,4922.370370370369,51.86419753086422,0.055162784898935266,0.0017146776406035665,0.041408666249996104,0.10088801828853301,212.2970588235294,11.508823529411764,0.0810581018036889,0.0019290657439446346,0.043921130950200206,0.9601574469589279,4964.6203703703695,52.50000000000001,0.04263045569447497,0.001757544581618656,0.04192307934322879,0.09270983068736847,10901.337499999996,103.39999999999998,9.950629237701408e-05,0.0020263671874999993,0.045015188409024784,-0.961721994154186,7759.634948096883,76.42387543252595,0.023716003348313752,0.0018917398019659725,0.04349413525943437,-0.4040046076290905,212.45781249999987,11.635937499999997,0.0714874820847014,0.001982421874999999,0.04452439640242189,0.9602123669525655,7706.669550173011,76.19896193771628,0.029003184191517914,0.0019994971324577043,0.04471573696650548,-0.3955960674524193,8776.39666666667,85.04666666666665,0.016727573643250254,0.0018722222222222213,0.04326918328582389,-0.5814777417446269,10912.09765625,103.42578125,9.961161707666213e-05,0.002349853515625,0.048475287679651785,-0.9633544583524662,220.0116666666667,11.758333333333331,0.08121785966438869,0.0021722222222222212,0.046607104847031865,0.9588588315093313,10849.814453125,103.130859375,0.00010041150232305782,0.0023345947265625,0.048317644050206957,-0.9632173768118296
